,Coin Name,Status,Start Year,End Year
547,IAGON,Abandoned or No Volume,2018,2019
548,HydroMiner,Abandoned or No Volume,2017,2018
549,Huatecoin,Abandoned or No Volume,2014,2014
550,Hppcoin,Abandoned or No Volume,2017,2018
551,HotCrypto,Abandoned or No Volume,2017,2018
552,Honeypod,Scam or Other Issues,2019,2019
553,HomeBlockCoin,Scam or Other Issues,2017,2018
554,High Temperature Coin,Abandoned or No Volume,2018,2018
555,HoweyCoins,Scam or Other Issues,2018,2018
556,Hong Kong Coin,Abandoned or No Volume,2014,2014
557,Hoard,Abandoned or No Volume,2018,2018
558,HighBank,Scam or Other Issues,2019,2019
559,HexxCoin,Abandoned or No Volume,2018,2019
560,Hero Node Token,Abandoned or No Volume,2018,2019
561,Hash Card,Scam or Other Issues,2018,2018
562,Habibi Coin,Abandoned or No Volume,2018,2018
563,Graphene Power,Abandoned or No Volume,2017,2018
564,Gold Pressed Latinum,Abandoned or No Volume,2013,2016
565,Hawaii Coin,Abandoned or No Volume,2018,2020
566,Halcyon,Abandoned or No Volume,2014,2020
567,Guncoin,Abandoned or No Volume,2014,2020
568,GollumCoin,Abandoned or No Volume,2014,2014
569,Global Denomination,Abandoned or No Volume,2014,2014
570,Giarcoin,Abandoned or No Volume,2014,2014
571,Galleon,Abandoned or No Volume,2014,2016
572,Galaxycoin,Abandoned or No Volume,2016,2017
573,Grantcoin,Abandoned or No Volume,2015,2018
574,Goldgate,Scam or Other Issues,2017,2018
575,GasolineCoin,Abandoned or No Volume,2014,2014
576,Grandcoin,Abandoned or No Volume,2014,2019
577,GraphGrail,Scam or Other Issues,2018,2019
578,Graft,Abandoned or No Volume,2017,2020
579,GODcoin,Joke or No Purpose,2018,2018
580,Global Awards Token,Abandoned or No Volume,2018,2019
581,GIGA,Scam or Other Issues,2018,2018
582,GoNetwork,Scam or Other Issues,2017,2018
583,Game Coin,Scam or Other Issues,2017,2017
584,DPRating,Scam or Other Issues,2018,2019
585,Giza Device,Scam or Other Issues,2017,2018
586,Gifcoin,Abandoned or No Volume,2018,2019
587,Genom,Abandoned or No Volume,2018,2018
588,Galatium,Scam or Other Issues,2018,2018
589,Knekted,Abandoned or No Volume,2018,2020
590,ContentBox,Abandoned or No Volume,2018,2020
591,Litecoin Token,Abandoned or No Volume,2019,2020
592,Gainer Coin,Scam or Other Issues,2018,2018
593,FloridaCoin,Abandoned or No Volume,2014,2014
594,Fellatio Coin,Abandoned or No Volume,2014,2014
595,Eden,Abandoned or No Volume,2018,2019
596,shard,Abandoned or No Volume,2018,2019
597,Gachimuchi Token,Abandoned or No Volume,2017,2017
598,Ferengicoin,Abandoned or No Volume,2014,2014
599,FLiK Tokens,Abandoned or No Volume,2017,2018
600,Folm Coin,Scam or Other Issues,2018,2018
601,Fixy Network,Scam or Other Issues,2018,2018
602,FiCoin,Abandoned or No Volume,2017,2018
603,Feston,Scam or Other Issues,2019,2019
604,Farstcoin,Scam or Other Issues,2018,2018
605,FNKOS,Abandoned or No Volume,2018,2018
606,Fidelium,Scam or Other Issues,2017,2018
607,Fetish Coin,Abandoned or No Volume,2019,2019
608,Fashion Coin,Abandoned or No Volume,2018,2019
609,FAPcoin,Scam or Other Issues,2018,2018
610,USDTT,Abandoned or No Volume,2018,2020
611,Fabcoin,Abandoned or No Volume,2018,2018
612,EdisonX3,Abandoned or No Volume,2014,2014
613,EagleCoin,Abandoned or No Volume,2013,2014
614,EquestrianBit,Abandoned or No Volume,2014,2014
615,Faceter,Abandoned or No Volume,2018,2019
616,e-Gulden,Abandoned or No Volume,2014,2020
617,Chronologic,ICO Fail or Short Lived,2017,2019
618,EmbargoCoin,Abandoned or No Volume,2014,2016
619,EmuCoin,Abandoned or No Volume,2014,2014
620,SophiaTX,ICO Fail or Short Lived,2017,2019
621,EtherBTC,Abandoned or No Volume,2017,2018
622,Traxalt,Scam or Other Issues,2018,2019
623,EquiTrader,Abandoned or No Volume,2017,2018
624,EtherID,Abandoned or No Volume,2015,2018
625,Substratum,Abandoned or No Volume,2017,2019
626,Exxor,Scam or Other Issues,2017,2017
627,Etherecash,Abandoned or No Volume,2017,2018
628,Envion,Scam or Other Issues,2017,2018
629,ESR Wallet,Scam or Other Issues,2017,2018
630,Eqitii,Scam or Other Issues,2018,2018
631,Encrypex,Scam or Other Issues,2018,2018
632,Eliqa Coin,Scam or Other Issues,2018,2018
633,eCharge,Scam or Other Issues,2018,2018
634,Eurocoinpay,Scam or Other Issues,2018,2019
635,Life,ICO Fail or Short Lived,2016,2020
636,Empowr Coin,Scam or Other Issues,2017,2017
637,Electronero Pulse,Abandoned or No Volume,2018,2018
638,EZOOW,Scam or Other Issues,2018,2018
639,EtherInc,Abandoned or No Volume,2018,2019
640,Petros,Abandoned or No Volume,2018,2019
641,Brg,Scam or Other Issues,2018,2020
642,Essentia One,ICO Fail or Short Lived,2018,2018
643,CanYaCoin,Abandoned or No Volume,2017,2019
644,Ellaism,Abandoned or No Volume,2017,2018
645,Chickencoin,ICO Fail or Short Lived,2020,2020
646,Ethereum Plus,Scam or Other Issues,2017,2017
647,EscrowCoin,Scam or Other Issues,2018,2018
648,eNAU,Abandoned or No Volume,2017,2018
649,Elixir,Scam or Other Issues,2017,2018
650,Elitetreum,Scam or Other Issues,2018,2018
651,Electronic Dollar,Scam or Other Issues,2018,2018
652,Electroneum Classic,Abandoned or No Volume,2018,2018
653,Electrify.Asia,Abandoned or No Volume,2017,2019
654,DV7Coin,Abandoned or No Volume,2018,2018
655,Elicoin,Abandoned or No Volume,2018,2019
656,BLK,Joke or No Purpose,2018,2019
657,Electronero,Abandoned or No Volume,2018,2019
658,Eigencoin,Abandoned or No Volume,2017,2018
659,Dropil,Scam or Other Issues,2018,2018
660,Dorado,Scam or Other Issues,2018,2018
661,Dix Asset,Abandoned or No Volume,2016,2018
662,EVEO,ICO Fail or Short Lived,2017,2020
663,Dilma Coin,Scam or Other Issues,2014,2014
664,Dashcoin,Abandoned or No Volume,2015,2017
665,Dokdo Coin,Abandoned or No Volume,2014,2015
666,Redenom nom,Abandoned or No Volume,2016,2019
667,DirhamCoin,Abandoned or No Volume,2018,2018
668,Deflationcoin,ICO Fail or Short Lived,2018,2018
669,DamasCoin,Scam or Other Issues,2018,2018
670,Dacxi,Abandoned or No Volume,2017,2018
671,DV8 Coin,Scam or Other Issues,2018,2018
672,Dubai Coin,Abandoned or No Volume,2017,2019
673,Dogefather,Scam or Other Issues,2018,2018
674,DIWToken,ICO Fail or Short Lived,2018,2019
675,DWS,Scam or Other Issues,2018,2018
676,Sugar Exchange,Scam or Other Issues,2018,2019
677,Drac,Scam or Other Issues,2017,2018
678,Doc.com,Abandoned or No Volume,2019,2020
679,DiVinumCoin,Scam or Other Issues,2018,2018
680,DitCoin,Scam or Other Issues,2017,2019
681,Digital Money,Scam or Other Issues,2019,2019
682,Delizia,Scam or Other Issues,2018,2018
683,DeedCoin,Scam or Other Issues,2017,2019
684,Decenturion,Scam or Other Issues,2018,2019
685,Discoin,Abandoned or No Volume,2019,2019
686,Dether,Abandoned or No Volume,2017,2019
687,Delectrum,Abandoned or No Volume,2018,2019
688,Decision Token,Abandoned or No Volume,2016,2020
689,Datecoin,Abandoned or No Volume,2018,2018
690,Cypherfunks,Abandoned or No Volume,2014,2018
691,Cryptoapples,Scam or Other Issues,2014,2014
692,Collegecoin,Scam or Other Issues,2017,2018
693,ChiChi Coin,Scam or Other Issues,2014,2014
694,Cannacoin,Abandoned or No Volume,2014,2018
695,Cryptonium,Abandoned or No Volume,2014,2014
696,Crapcoin,Scam or Other Issues,2014,2014
697,CloudCoin,Abandoned or No Volume,2013,2015
698,CharityCoin,Abandoned or No Volume,2014,2014
699,ChanCoin,Abandoned or No Volume,2017,2018
700,Cointed,Scam or Other Issues,2017,2018
701,CopPay,Abandoned or No Volume,2017,2018
702,CODE47,Scam or Other Issues,2017,2017
703,BitcoinClashic,Abandoned or No Volume,2017,2018
704,Credence Coin,Scam or Other Issues,2018,2018
705,sirin,Scam or Other Issues,2018,2019
706,Charna Coin,Abandoned or No Volume,2016,2017
707,CoinOil,Scam or Other Issues,2018,2018
708,CryptoKami,Scam or Other Issues,2018,2018
709,CottonCoin,Scam or Other Issues,2018,2018
710,Corona Crypto,Scam or Other Issues,2020,2020
711,Clout,Abandoned or No Volume,2017,2018
712,ChainTrade,Scam or Other Issues,2017,2018
713,Cyprus Coin,Scam or Other Issues,2018,2019
714,CrytoPing,Abandoned or No Volume,2017,2020
715,Wlo,Abandoned or No Volume,2017,2020
716,Cloudwithme,Scam or Other Issues,2017,2017
717,CarTaxi,Scam or Other Issues,2018,2019
718,CryptoSecure,Scam or Other Issues,2018,2018
719,CryptoPayAfrica,Abandoned or No Volume,2019,2020
720,CryptoSoul,Abandoned or No Volume,2018,2020
721,Cyber Movie Chain,Scam or Other Issues,2018,2018
722,Chrysos,Scam or Other Issues,2018,2018
723,Cobinhood,Scam or Other Issues,2018,2019
724,Cognx,Abandoned or No Volume,2017,2019
725,Crown Service Coin,Scam or Other Issues,2018,2019
726,Crowd Coin,Abandoned or No Volume,2017,2019
727,Civitas,Abandoned or No Volume,2018,2018
728,Cofound,Abandoned or No Volume,2018,2019
729,CoronaCoin,Scam or Other Issues,2020,2020
730,Choicemining,Scam or Other Issues,2018,2018
731,Capital Expanse,Scam or Other Issues,2018,2018
732,CaixaPay,Abandoned or No Volume,2018,2019
733,BurbuCoin,Abandoned or No Volume,2014,2014
734,cedex,Scam or Other Issues,2018,2019
735,Carincoin,Scam or Other Issues,2016,2017
736,CannabisCoin,Abandoned or No Volume,2014,2019
737,BumbaCoin,Abandoned or No Volume,2014,2019
738,Blazecoin,Abandoned or No Volume,2014,2015
739,Rate3,Scam or Other Issues,2018,2019
740,BitQuark,Abandoned or No Volume,2014,2019
741,BoxxyCoin,Abandoned or No Volume,2014,2014
742,Boring Coin,Joke or No Purpose,2014,2014
743,BountyCoin,Abandoned or No Volume,2013,2014
744,Blockchain Development Company,ICO Fail or Short Lived,2017,2018
745,Beli Coin,Abandoned or No Volume,2014,2014
746,Bitleu,Abandoned or No Volume,2014,2014
747,BeatleCoin,Abandoned or No Volume,2014,2014
748,Bogcoin,Abandoned or No Volume,2017,2018
749,BitZeny,Abandoned or No Volume,2014,2018
750,BitSerial,Abandoned or No Volume,2017,2018
751,BitMillion,Scam or Other Issues,2018,2018
752,Bitcedi,Abandoned or No Volume,2016,2019
753,BADcoin,Abandoned or No Volume,2019,2020
754,BitCheke,Scam or Other Issues,2018,2019
755,bitqy,Scam or Other Issues,2017,2018
756,BitNexus,Scam or Other Issues,2018,2019
757,Benebit,Scam or Other Issues,2017,2018
758,Bolenum,Abandoned or No Volume,2017,2018
759,Bitcoin Token,Abandoned or No Volume,2018,2019
760,Bitcorn,Joke or No Purpose,2018,2018
761,BLOCKv,Abandoned or No Volume,2017,2020
762,Phantom,Abandoned or No Volume,2015,2019
763,BELDEX-Coin,Scam or Other Issues,2018,2019
764,BBX Coin,ICO Fail or Short Lived,2017,2018
765,BitAI,Scam or Other Issues,2017,2018
766,Bitdepositary,Scam or Other Issues,2018,2019
767,Beth,Scam or Other Issues,2017,2018
768,Befund,Scam or Other Issues,2017,2018
769,Budbo,Abandoned or No Volume,2017,2018
770,Bubbletone,Abandoned or No Volume,2017,2019
771,BlockMesh,Abandoned or No Volume,2017,2019
772,BLOC.money,Abandoned or No Volume,2018,2019
773,BitcoinX,Abandoned or No Volume,2018,2019
774,Bitcoin Private,Abandoned or No Volume,2018,2019
775,Bounty0x,Abandoned or No Volume,2017,2019
776,BlockCAT,Scam or Other Issues,2017,2018
777,Bitdeal,Scam or Other Issues,2018,2018
778,BitCoin Crown,Scam or Other Issues,2018,2018
779,Bitcoin Interest,Abandoned or No Volume,2017,2019
780,Bismuth,Abandoned or No Volume,2017,2019
781,Balkancoin,ICO Fail or Short Lived,2018,2019
782,ATC Coin,ICO Fail or Short Lived,2017,2018
783,Appian,Scam or Other Issues,2017,2018
784,AmigaCoin,ICO Fail or Short Lived,2014,2016
785,Bank4YOU,ICO Fail or Short Lived,2017,2018
786,Electronic Energy Coin E2C,Scam or Other Issues,2018,2019
787,Assetereum,Scam or Other Issues,2018,2018
788,AMLOve,ICO Fail or Short Lived,2018,2018
789,AllSafe,ICO Fail or Short Lived,2017,2020
790,AligatoCoin,ICO Fail or Short Lived,2018,2019
791,AidCoin,ICO Fail or Short Lived,2017,2019
792,AchieveCoin,ICO Fail or Short Lived,2018,2019
793,Aurumcoin,ICO Fail or Short Lived,2017,2018
794,Auctus,ICO Fail or Short Lived,2018,2019
795,AirPorn,ICO Fail or Short Lived,2017,2017
796,thebillioncoin,Scam or Other Issues,2016,2019
797,Avesta,Scam or Other Issues,2017,2018
798,Auroracoin,Scam or Other Issues,2014,2016
799,ATRONOCOM,Scam or Other Issues,2019,2019
800,ATMChain,ICO Fail or Short Lived,2017,2018
801,ATB Coin,ICO Fail or Short Lived,2017,2019
802,Arbitraging,Scam or Other Issues,2018,2019
803,Anime Coin,ICO Fail or Short Lived,2018,2019
804,All.me,ICO Fail or Short Lived,2018,2019
805,Atlas,ICO Fail or Short Lived,2019,2019
806,artax Coin,ICO Fail or Short Lived,2018,2019
807,ARAW Token,ICO Fail or Short Lived,2018,2018
808,Altbet,Scam or Other Issues,2018,2019
809,All For One Business,ICO Fail or Short Lived,2018,2018
810,ALAX,ICO Fail or Short Lived,2018,2019
811,Agrolot,ICO Fail or Short Lived,2018,2019
812,M+Plus,Abandoned or No Volume,2018,2020
813,Adrenaline,Scam or Other Issues,2018,2018
814,Accolade,Abandoned or No Volume,2017,2018
815,Airfio,Scam or Other Issues,2017,2019
816,Aegeus,Joke or No Purpose,2018,2018
817,Aeternum Coin,ICO Fail or Short Lived,2018,2019
818,Achain,ICO Fail or Short Lived,2018,2020
819,Abulaba,Scam or Other Issues,2018,2018
820,4New,Scam or Other Issues,2018,2019
821,0Chain,Scam or Other Issues,2018,2019
822,BmyBit,ICO Fail or Short Lived,2017,2017
823,AriseBank,ICO Fail or Short Lived,2017,2018
824,Xfermoney,ICO Fail or Short Lived,2018,2018
825,0xcert,Scam or Other Issues,2018,2019
826,300cubits,ICO Fail or Short Lived,2017,2019
827,BitPoker,ICO Fail or Short Lived,2017,2018
828,3DES,ICO Fail or Short Lived,2018,2019
829,Zenome,ICO Fail or Short Lived,2018,2019
830,ZavodCoin,ICO Fail or Short Lived,2017,2017
831,Worldtelevision Coin,ICO Fail or Short Lived,2017,2018
832,Viva Coin,ICO Fail or Short Lived,2017,2018
833,Vector,ICO Fail or Short Lived,2017,2018
834,VVTokens,ICO Fail or Short Lived,2017,2018
835,Wyrify,ICO Fail or Short Lived,2017,2019
836,VuePay,ICO Fail or Short Lived,2017,2018
837,Verify,ICO Fail or Short Lived,2017,2018
838,VALUS,ICO Fail or Short Lived,2017,2018
839,UNYT,ICO Fail or Short Lived,2017,2018
840,Trendit,ICO Fail or Short Lived,2018,2019
841,Tracor Network,ICO Fail or Short Lived,2017,2017
842,Tomahawk Coin,ICO Fail or Short Lived,2017,2017
843,Superior Coin,ICO Fail or Short Lived,2017,2017
844,Tetarise,ICO Fail or Short Lived,2017,2018
845,TraneAi,ICO Fail or Short Lived,2017,2018
846,Totum,ICO Fail or Short Lived,2017,2017
847,Token Report,ICO Fail or Short Lived,2017,2018
848,The Advertising Currency,ICO Fail or Short Lived,2017,2018
849,TechBench,ICO Fail or Short Lived,2017,2018
850,SwishCoin,ICO Fail or Short Lived,2016,2017
851,StartMining,ICO Fail or Short Lived,2017,2017
852,Stable,ICO Fail or Short Lived,2017,2018
853,Soundchain,ICO Fail or Short Lived,2017,2018
854,Harmou,ICO Fail or Short Lived,2018,2019
855,Stubba,ICO Fail or Short Lived,2018,2018
856,Starmine,ICO Fail or Short Lived,2017,2018
857,Spacium,ICO Fail or Short Lived,2017,2017
858,SoccerChain,ICO Fail or Short Lived,2017,2017
859,Secrets of Zurich,Abandoned or No Volume,2019,2019
860,Skye Properties,ICO Fail or Short Lived,2018,2018
861,ShineCoin,ICO Fail or Short Lived,2017,2017
862,STAMP Coin,ICO Fail or Short Lived,2017,2018
863,SMSCHAIN,ICO Fail or Short Lived,2017,2018
864,TeamCoin,ICO Fail or Short Lived,2017,2018
865,Sikoba,ICO Fail or Short Lived,2019,2020
866,Scorista,ICO Fail or Short Lived,2017,2018
867,Spin Token,ICO Fail or Short Lived,2017,2018
868,Smart Logistics Network,ICO Fail or Short Lived,2017,2018
869,Royal Cash,ICO Fail or Short Lived,2018,2018
870,Rosenbridge Digital,ICO Fail or Short Lived,2017,2018
871,Rhovit,ICO Fail or Short Lived,2017,2018
872,Respectonomy,ICO Fail or Short Lived,2017,2017
873,Rent Token,ICO Fail or Short Lived,2017,2018
874,RealEstate Token,ICO Fail or Short Lived,2017,2018
875,Rockchain,ICO Fail or Short Lived,2017,2018
876,Revoil,ICO Fail or Short Lived,2017,2019
877,Reporter,ICO Fail or Short Lived,2017,2018
878,REcoin,ICO Fail or Short Lived,2017,2017
879,ReNu Coin,ICO Fail or Short Lived,2017,2018
880,RAFL,ICO Fail or Short Lived,2017,2017
881,Quantopia,ICO Fail or Short Lived,2017,2017
882,Pryze,ICO Fail or Short Lived,2018,2019
883,Propthereum,ICO Fail or Short Lived,2017,2018
884,Praetorian Group,ICO Fail or Short Lived,2017,2020
885,QWIQQ,ICO Fail or Short Lived,2018,2018
886,Pumpkin Pay,ICO Fail or Short Lived,2018,2018
887,Protostarr,ICO Fail or Short Lived,2017,2017
888,Pridecoin,ICO Fail or Short Lived,2017,2017
889,Pocketinns,ICO Fail or Short Lived,2017,2018
890,PoW Farm,ICO Fail or Short Lived,2017,2017
891,OurInterest,ICO Fail or Short Lived,2017,2019
892,OriginalMy,ICO Fail or Short Lived,2017,2017
893,Opakeco,ICO Fail or Short Lived,2017,2018
894,OCash,ICO Fail or Short Lived,2017,2017
895,Peerity,ICO Fail or Short Lived,2017,2018
896,Orocrypt,ICO Fail or Short Lived,2017,2019
897,Open Money,ICO Fail or Short Lived,2017,2017
898,OnPlace,ICO Fail or Short Lived,2017,2018
899,New Dubrava,ICO Fail or Short Lived,2017,2017
900,xeophin,Scam or Other Issues,2018,2019
901,pirl,Abandoned or No Volume,2018,2019
902,MoxyOne,ICO Fail or Short Lived,2017,2018
903,Moon Funding,ICO Fail or Short Lived,2018,2019
904,Modulum,ICO Fail or Short Lived,2017,2018
905,loopring ne,Abandoned or No Volume,2018,2019
906,MyOddz,ICO Fail or Short Lived,2017,2018
907,Movement,ICO Fail or Short Lived,2017,2019
908,HOLD,Abandoned or No Volume,2017,2020
909,Metta,ICO Fail or Short Lived,2017,2018
910,Media Sifter,ICO Fail or Short Lived,2017,2018
911,PikcioChain,ICO Fail or Short Lived,2018,2018
912,Mainstreet Investment,ICO Fail or Short Lived,2016,2017
913,Luxico,ICO Fail or Short Lived,2017,2017
914,LockChain,ICO Fail or Short Lived,2017,2017
915,MCPay,ICO Fail or Short Lived,2017,2018
916,Mammoth Casino,ICO Fail or Short Lived,2017,2017
917,Majato,ICO Fail or Short Lived,2017,2018
918,LoyalCoin,ICO Fail or Short Lived,2017,2018
919,Lescoin,ICO Fail or Short Lived,2017,2018
920,Legacy,ICO Fail or Short Lived,2017,2018
921,LUNAR,ICO Fail or Short Lived,2017,2019
922,Keyrpto,ICO Fail or Short Lived,2017,2018
923,Javvy,ICO Fail or Short Lived,2017,2019
924,ImpactPPA,ICO Fail or Short Lived,2017,2019
925,Labrys,ICO Fail or Short Lived,2017,2019
926,Kitex,ICO Fail or Short Lived,2017,2017
927,Jobeum,ICO Fail or Short Lived,2017,2018
928,Instacoin,ICO Fail or Short Lived,2017,2017
929,Automated Coin Platform,ICO Fail or Short Lived,2017,2019
930,IBFS world,ICO Fail or Short Lived,2017,2018
931,Human Discovery Platform,ICO Fail or Short Lived,2017,2017
932,Harbour,ICO Fail or Short Lived,2017,2017
933,HDCoin,ICO Fail or Short Lived,2018,2018
934,Goldea,ICO Fail or Short Lived,2017,2018
935,Hush,ICO Fail or Short Lived,2017,2018
936,HedgePro,ICO Fail or Short Lived,2017,2018
937,Handelion,ICO Fail or Short Lived,2018,2019
938,GroceryX,ICO Fail or Short Lived,2017,2018
939,Geens,ICO Fail or Short Lived,2017,2018
940,FundCoin,ICO Fail or Short Lived,2017,2017
941,Finix Coin,ICO Fail or Short Lived,2017,2018
942,Exchange Union,ICO Fail or Short Lived,2017,2017
943,EtherDelta,ICO Fail or Short Lived,2017,2018
944,Elite 888,ICO Fail or Short Lived,2017,2018
945,FlipCoin,ICO Fail or Short Lived,2017,2017
946,Feeed,ICO Fail or Short Lived,2017,2018
947,ExHasta,ICO Fail or Short Lived,2017,2017
948,Eros,ICO Fail or Short Lived,2017,2018
949,ESL Coin,ICO Fail or Short Lived,2017,2019
950,DropDeck,ICO Fail or Short Lived,2017,2018
951,Datafund,ICO Fail or Short Lived,2018,2019
952,BriaCoin,Abandoned or No Volume,2018,2019
953,Crypto Factory,ICO Fail or Short Lived,2017,2017
954,Car Token,ICO Fail or Short Lived,2018,2018
955,DigiPulse,ICO Fail or Short Lived,2017,2018
956,DECO,ICO Fail or Short Lived,2017,2017
957,CycloShield,ICO Fail or Short Lived,2017,2018
958,Crowdstart Capital,Scam or Other Issues,2017,2019
959,Credo,ICO Fail or Short Lived,2017,2018
960,Cove Identity,ICO Fail or Short Lived,2017,2018
961,CoinTube,ICO Fail or Short Lived,2017,2017
962,Centz,ICO Fail or Short Lived,2017,2018
963,Bugu,ICO Fail or Short Lived,2017,2017
964,Blockfreight,ICO Fail or Short Lived,2016,2017
965,CoooCoin,ICO Fail or Short Lived,2017,2018
966,CHEX,ICO Fail or Short Lived,2017,2019
967,CCCoin,ICO Fail or Short Lived,2017,2018
968,BmyCoin,ICO Fail or Short Lived,2017,2018
969,Blockchain Taxi,ICO Fail or Short Lived,2017,2018
970,BEEQB,ICO Fail or Short Lived,2017,2019
971,Augmate,ICO Fail or Short Lived,2017,2018
972,AriseCoin,ICO Fail or Short Lived,2018,2018
973,AfterEther,ICO Fail or Short Lived,2018,2018
974,Tokia,Abandoned or No Volume,2018,2019
975,Battle Of Titans,ICO Fail or Short Lived,2017,2019
976,Astra,ICO Fail or Short Lived,2017,2018
977,Algebraix,ICO Fail or Short Lived,2018,2018
978,AIBanks,ICO Fail or Short Lived,2017,2017
979,nodvix,Scam or Other Issues,2018,2019
980,Chain of Points,ICO Fail or Short Lived,2017,2018
981,Notary Platform,ICO Fail or Short Lived,2017,2017
982,Zonbyte,ICO Fail or Short Lived,2018,2018
983,BITRUST,ICO Fail or Short Lived,2018,2018
984,CryptoCurve,ICO Fail or Short Lived,2018,2019
985,EtherEx,ICO Fail or Short Lived,2016,2016
986,Librium,ICO Fail or Short Lived,2017,2018
987,Roburst Network,ICO Fail or Short Lived,2018,2018
988,Alethena,ICO Fail or Short Lived,2018,2019
989,Embermine,ICO Fail or Short Lived,2016,2018
990,etherzero,Abandoned or No Volume,2018,2019
991,Goldbloc,Abandoned or No Volume,2017,2019
992,Pesetacoin,Limited Volume/Limited Exchanges,2017,2019
993,Linda,ICO Fail or Short Lived,2018,2019
994,Vestarin,Joke or No Purpose,2018,2018
995,GramGoldCoin,Abandoned or No Volume,2017,2019
996,Arbitrade,ICO Fail or Short Lived,2018,2019
997,DigitalNote,ICO Fail or Short Lived,2018,2019
998,Kappi Network,"Wallet Issues, Low Volume",2018,2020
999,Skyfchain,Scam or Other Issues,2018,2019
1000,Bitrewarads,Abandoned or No Volume,2018,2019
1001,Beat,Abandoned or No Volume,2018,2019
1002,Nauticus Token,ICO Fail or Short Lived,2018,2019
1003,Squeezer,ICO Fail or Short Lived,2018,2018
1004,Zoom,Scam or Other Issues,2015,2016
1005,FSBT API Token,Abandoned or No Volume,2018,2019
1006,DIMCOIN,Abandoned or No Volume,2017,2020
1007,DiD,Scam or Other Issues,2018,2018
1008,REO,ICO Fail or Short Lived,2018,2019
1009,ZombieCoin,Abandoned or No Volume,2016,2016
1010,ZirkCoin,Abandoned or No Volume,2015,2015
1011,ZimStake,Abandoned or No Volume,2014,2016
1012,Zeuscoin,Abandoned or No Volume,2013,2014
1013,Zedcoin,Abandoned or No Volume,2014,2014
1014,Zcashshare,Abandoned or No Volume,2016,2016
1015,Zipcoin,Abandoned or No Volume,2014,2014
1016,Zilbercoin,Abandoned or No Volume,2017,2018
1017,ZenithCoin,Abandoned or No Volume,2013,2014
1018,Zcrypt,Abandoned or No Volume,2016,2016
1019,Yogold,Abandoned or No Volume,2017,2018
1020,YinCoin,Abandoned or No Volume,2014,2014
1021,Yellow Token,Abandoned or No Volume,2017,2018
1022,YangCoin,Abandoned or No Volume,2014,2014
1023,XxXcoin,Abandoned or No Volume,2015,2016
1024,Xuro,Abandoned or No Volume,2014,2014
1025,YellowCoin,Abandoned or No Volume,2014,2014
1026,YashCoin,Abandoned or No Volume,2017,2018
1027,XYLO,Abandoned or No Volume,2017,2018
1028,XXLcoin,Abandoned or No Volume,2014,2014
1029,XtraCoin,Abandoned or No Volume,2014,2015
1030,XTD Coin,Abandoned or No Volume,2017,2017
1031,Xonecoin,Abandoned or No Volume,2016,2016
1032,Xios,Abandoned or No Volume,2017,2017
1033,Xenixcoin,Abandoned or No Volume,2016,2017
1034,XDE II,Abandoned or No Volume,2015,2019
1035,Xpay,Abandoned or No Volume,2016,2016
1036,Xivra,Abandoned or No Volume,2013,2017
1037,Xiaomicoin,Abandoned or No Volume,2015,2017
1038,XDECoin,Abandoned or No Volume,2014,2017
1039,XCloudcoin,Abandoned or No Volume,2014,2015
1040,Xaucoin,Abandoned or No Volume,2015,2015
1041,XAB,Abandoned or No Volume,2016,2016
1042,X14Coin,Abandoned or No Volume,2014,2014
1043,Wyvern,Abandoned or No Volume,2017,2019
1044,Wowcoin,Abandoned or No Volume,2016,2016
1045,Xanoncoin,Abandoned or No Volume,2014,2014
1046,X2,Abandoned or No Volume,2015,2018
1047,X-Children,Abandoned or No Volume,2014,2015
1048,World Trade Funds,Abandoned or No Volume,2014,2015
1049,WorldPay,Abandoned or No Volume,2015,2015
1050,Woodshares,Abandoned or No Volume,2015,2016
1051,WolfCoin,Abandoned or No Volume,2014,2014
1052,WhiteGoldShares,Abandoned or No Volume,2014,2014
1053,Wexcoin,Abandoned or No Volume,2016,2017
1054,Wavecoin,Abandoned or No Volume,2014,2014
1055,Woodcoin,Abandoned or No Volume,2014,2018
1056,WINCOIN,Abandoned or No Volume,2017,2018
1057,WhistleCoin,Abandoned or No Volume,2014,2014
1058,WeedTokens,Abandoned or No Volume,2015,2015
1059,WARP,Scam or Other Issues,2016,2016
1060,WarOfCoins,Abandoned or No Volume,2015,2015
1061,WalletBuildersCoin,Abandoned or No Volume,2017,2018
1062,VultMining,Abandoned or No Volume,2015,2015
1063,vTorrent,Abandoned or No Volume,2014,2017
1064,VPNCoin,Abandoned or No Volume,2014,2017
1065,Wankcoin,Abandoned or No Volume,2018,2018
1066,Waccoin Gold,Abandoned or No Volume,2014,2014
1067,Vulcano [OLD],Scam or Other Issues,2017,2019
1068,Vsync,Abandoned or No Volume,2017,2019
1069,Voyacoin,Abandoned or No Volume,2015,2015
1070,VoxPopuli,Abandoned or No Volume,2014,2014
1071,VootCoin,Abandoned or No Volume,2014,2014
1072,Voise,Abandoned or No Volume,2017,2019
1073,VirtualCoin,Abandoned or No Volume,2017,2019
1074,Viral,Abandoned or No Volume,2015,2018
1075,VorteX,Abandoned or No Volume,2014,2015
1076,VolatilityCoin,Scam or Other Issues,2014,2014
1077,VirtualMiningCoin,Abandoned or No Volume,2014,2014
1078,Virtacoinplus,Abandoned or No Volume,2017,2019
1079,Viorcoin,Abandoned or No Volume,2014,2015
